Country,Name of University,Description,Worth pursuing (Y/N),Flags ,Observations for approaching strategy,Website Uni,Website TTO,Contact point,Name of contact point,
Belgium,KU Leuven,,,,,https://lrd.kuleuven.be/en,,"Email: https://www.linkedin.com/showcase/kuleuven-innovation-entrepreneurship/?viewAsMember=true",,
Germany,University of Erlangen Nuremberg,,,,,https://www.fau.eu/,,,,
United Kingdom,Imperial College London,,,,,https://www.imperial.ac.uk/,,,,
United Kingdom,University of Cambridg,,,,,https://map.cam.ac.uk/,https://www.enterprise.cam.ac.uk/,"Address: University of Cambridge, Hauser Forum, 3 Charles Babbage Road, Cambridge CB3 0GT
Phone: +44 1223 760339
Email: enquiries@enterprise.cam.ac.uk","Name: Dr Iain Thomas 
Position: Head of Life Sciences",
Switzerland,EPFL - Swiss Federal lnstitute of Technology Lausanne,,,,,https://www.epfl.ch/en/,https://search.epfl.ch/?filter=unit&q=I-VP,"Address: QIJ 1 117.08 (EPFL Innovation Park J)
CH-1015 Lausanne
Phone: +41 21 693 86 74","Name: Ursula Oesterle
Position: Vice President for Innovation
Email: ursula.oesterle@epfl.ch
Link: linkedin.com/in/ursulaoesterle",
United Kingdom,University College London,,,,,https://www.ucl.ac.uk/,https://www.ucl.ac.uk/research-innovation-services/,"Address: Office of the Vice-Provost (Research, Innovation & Global Engagement)
UCL, Gower Street, London WC1E 6BT","Name: Geraint Rees
Position: Vice-Provost

Name: Michelle Czechak
Position: Executive Assistant to Geraint Rees
Email: m.czechak@ucl.ac.uk",
Germany,Technical University of Munich,,,,,https://www.tum.de/en/,,"Address: TUM ForTe – Office for Research and Innovation
Arcisstr. 21
D-80333 Munich
Phone: +49 89 289 28381
Email: research-cooperations@tum.de","Name: Alice Beck
Position: Head of Department TUM ForTe
Phone: +49 89 289 25200
Email: becka@zv.tum.de",
United Kingdom,University of Manchester,,,,,https://www.manchester.ac.uk/,https://www.staffnet.manchester.ac.uk/rbe/beke/knowledge-exchange/,"Email: kepartnerships@manchester.ac.uk","
Name: Caroline Stanton
Position: Knowledge Exchange Partnerships Manager
Email: caroline.stanton@manchester.ac.uk
Phone: +44(0)7795 390639
",
Switzerland,University of Zurich,,,,,https://www.uzh.ch/de.html,https://www.innovation.uzh.ch/en.html,"Address: Universität Zürich
Innovation Office
Hirschengraben 48
CH-8001 Zürich

Email: info@innovation.uzh.ch
https://www.linkedin.com/showcase/uzh-innovation/?viewAsMember=true","Name: Maria Olivares
Position: Head Innovation
Email: maria.olivares@uzh.ch
Phone: +41 44 634 49 23
Link: linkedin.com/in/dr-maria-alejandra-olivares-30590b13",
Switzerland,Swiss Federal Institute of Technology Zurich,,,,,https://ethz.ch/en.html,https://ethz.ch/en/industry/transfer.html,"Address: ETH transfer
Rämistrasse 101
8092 Zürich
Switzerland
E-mail: cordelia.stanger@sl.ethz.ch
Phone: +41 44 633 82 30 ","Name:  Silvio Bonaccio
Position: Head of ETH transfer
Phone: +41 44 632 77 42 
Email: silvio.bonaccio@sl.ethz.ch",
,,,,,,,https://www.switzerland-innovation.com/zurich/,"Address: Switzerland Innovation Park Zurich
c/o Stiftung Innovationspark Zürich
Wangenstrasse 68
8600 Dübendorf, Switzerland
Email: zurich@switzerland-innovation.com
Phone: +41 44 527 20 20","Link: https://www.linkedin.com/company/switzerland-innovation-park-zurich/",
Germany,Ruprecht Karl University Heidelberg,,,,,https://www.uni-heidelberg.de/en,https://www.uni-heidelberg.de/en/transfer/transfer-profile,"Address: Staff Unit hei_INNOVATION
Seminarstr. 2 | Raum 135
69117 Heidelberg
Email: heiinnovation@uni-heidelberg.de
Phone: +49 6221 54 12677","Name: Matthias Weidemüller
Position: Vice-Rector for Innovation and Transfer
Link: linkedin.com/in/matthias-weidemueller"
United Kingdom,University of Oxford,,,,,https://www.ox.ac.uk/,https://innovation.ox.ac.uk/,"Address: Oxford University Innovation
Buxton Court
3 West Way
Oxford
OX2 0JB
UK
Email: enquiries@innovation.ox.ac.uk
Phone:  +44 (0) 1865 280830","Name: Martina Zagaria 
Email: martina.zagaria@innovation.ox.ac.uk"
Denmark,Technical University of Denmark,,,,,https://www.dtu.dk/english,https://link.dtu.dk/english,"Address:  Frederiksborgvej 399, building 108
4000 Roskilde
Email: https://www.linkedin.com/company/dtu-link/","Name: Christina Jespersen
Position: Business Developer
Email: cjes@dtu.dk
Phone: +45 46 77 47 79 "
